,,,,,,,2021年1月,,,2021年2月,,,2021年3月,,,2021年4月,,,2021年5月,,,2021年6月,,,2021年7月,,,2021年8月,,,2021年9月,,,2021年10月,,,2021年11月,,,2021年12月,,
機種,シリーズ,品番,型番,材質,熱処理,単重,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産,試押,量試,量産
MY,MYB-H1,MYB20LAA7164-20K,MYB20H1-V01D,A6063,T5,4.44,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
XLA,BNT,XLA16-3-1B,XLA16BN-V01B,A6063,T6,3.68,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
XLA,BNT,XLA25-3-1B,XLA25BN-V01D,A6063,T6,5.87,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.762800000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
XLA,Body,XLA16-1B-S,XLA16B2-V01B,A6063,T6,4.85,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
XLA,Body,XLA25-1B-S,XLA25B2-V01B,A6063,T6,7.28,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.000000000,15.346800000,0.000000000,0.000000000,2.646000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
XLA,Body,XLA40-1B-S,XLA40B2-V01B,A6063,T6,12.34,1.455300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.529200000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,DXT,DXT155-38-1,DXT155M-V01D,A6063,T5,2.43,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.264600000,0.000000000,4.233600000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,DXT,DXT192-11-3,DXT192M1-V01D,A6063,T5,1.85,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066150000,0.000000000,0.000000000,0.066150000,0.000000000,0.000000000,0.264600000,0.330750000,0.000000000,0.000000000,0.396900000,8.731800000,0.000000000,0.000000000,0.595350000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,SY,SY3000-20-1,SY30M-V01B,A6063,T5,3.22,1.984500000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.926100000,0.000000000,0.000000000,0.000000000,1.323000000,0.000000000,0.000000000,0.000000000,1.587600000,0.000000000,0.000000000,2.249100000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,SY,SY5000-20-1,SY50M-V01B,A6063,T5,4.44,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.396900000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,SY,SY7000-20-1,SY70M-V01B,A6063,T5,6.22,1.058400000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.529200000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,VJ,VJ100-16-7,VJ10M-V01D,A6063,T5,0.66,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066150000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.198450000,0.000000000,0.000000000,0.066150000,0.066150000,0.000000000,0.000000000,0.463050000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,VJ,VJ3000-20-1,VJ30M1-V01D,A6063,T5,1.79,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066150000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.198450000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,VV,DXT156-10-11,VV10M1-V01B,A6063,T5,3.33,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.264600000,0.396900000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,VV,DXT199-20-23,VV14M1-V01D,A6063,T5,2.58,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.396900000,0.000000000,4.895100000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールド,VV,DXT201-13-13,VV15M1-V01D,A6063,T5,3.54,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.000000000,0.000000000,0.529200000,0.000000000,0.000000000,0.529200000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールドリフレッシュ,SY_MP,SY30M-20-E-1,SY30MP-V01D,A6063,T5,4.22,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.132300000,0.000000000,0.000000000,0.396900000,0.000000000,0.000000000,0.926100000,0.000000000,0.000000000,0.000000000,0.661500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
マニホールドリフレッシュ,SY_MP,SY50M-20-E-1,SY50MP-V01D,A6063,T5,6.73,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264600000,0.000000000,0.000000000,1.058400000,0.000000000,0.000000000,1.719900000,0.000000000,0.000000000,0.000000000,0.793800000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
